GEO_id2,Civilian_EST_Tot_Pop,Civilian_MOE_Tot_Pop,Veteran_EST,Veteran_MOE,Veteran_EST_Percentage,Veteran_MOE_Percentage
6037481201,3004,233,51,62,1.7,1.2
6037502003,1996,154,51,65,2.6,1.6
6037535804,3909,348,51,71,1.3,1.1
6037543905,3302,254,51,75,1.5,1
6037602509,3154,260,51,91,1.6,1.3
6037602801,2786,249,51,91,1.8,1.5
6037115404,2368,161,52,15,2.2,1.4
6037121900,3090,248,52,17,1.7,1.2
6037127605,3069,365,52,21,1.7,1.6
6037208000,5977,537,52,34,0.9,1.4
6037212502,2449,250,52,36,2.1,1.7
6037228800,3481,328,52,39,1.5,1
6037239802,3699,310,52,42,1.4,1.2
6037264103,2456,195,52,43,2.1,2.1
6037269800,2694,175,52,45,1.9,1.3
6037269905,2258,198,52,45,2.3,1.5
6037294820,2429,197,52,47,2.1,2
6037301206,4401,311,52,49,1.2,0.7
6037301400,3144,325,52,49,1.7,1.1
6037302003,3355,254,52,49,1.5,1
6037535902,5262,438,52,71,1,0.8
6037600303,2874,307,52,87,1.8,1.6
6037120105,2111,173,53,17,2.5,1.1
6037121221,1936,184,53,17,2.7,1.7
6037123103,3091,255,53,18,1.7,1.2
6037128101,2942,255,53,21,1.8,1.3
6037139504,3539,231,53,26,1.5,1
6037191820,2634,342,53,30,2,1.5
6037192520,3653,273,53,31,1.5,1.2
6037199400,3560,411,53,32,1.5,1
6037237201,2786,372,53,41,1.9,1.2
6037241001,3176,452,53,42,1.7,1.4
6037265420,1503,113,53,44,3.5,1.6
6037267404,2881,343,53,44,1.8,1.7
6037461400,2637,262,53,60,2,1.1
6037481606,4101,310,53,62,1.3,0.9
6037502302,2298,201,53,65,2.3,1.4
6037531901,4588,446,53,67,1.2,1
6037576401,3645,435,53,85,1.5,1.3
6037601301,1487,148,53,88,3.6,1.7
6037183620,2320,182,54,28,2.3,1.5
6037190801,2373,479,54,29,2.3,1.8
6037208710,3828,245,54,34,1.4,1.2
6037214901,2886,308,54,36,1.9,1.7
6037221304,2847,364,54,38,1.9,1.2
6037242300,3210,496,54,43,1.7,1.3
6037267402,4591,305,54,44,1.2,1
