GEOID,Veteran_Percent_EST
6037408141,1.4
6037408202,0.4
6037408211,1.9
6037408212,2.9
6037408301,1.1
6037408302,5.3
6037408303,5.6
6037408401,4.1
6037408402,6.1
6037408501,1.5
6037408503,7.2
6037408504,5.9
6037408505,4.6
6037408623,4.6
6037408624,5.5
6037408625,5.3
6037408626,5.1
6037408627,4.3
6037408628,3.5
6037408629,4.5
6037408630,2.8
6037408631,5.3
6037408703,1.3
6037408704,4
6037408705,5.1
6037408706,4.3
6037408722,2.2
6037408723,3.7
6037408724,3.4
6037408800,3.5
6037430002,4
6037430003,5
6037430101,4
6037430102,2.8
6037430200,5
6037430301,5.7
6037430302,6.2
6037430400,3.6
6037430501,5.7
6037430502,5.7
6037430600,4.1
6037430701,3.7
6037430721,2.6
6037430723,2.7
6037430724,2.5
6037430801,3.2
6037430802,1.4
6037430803,5.2
6037430901,3.1
6037430902,2.8
6037431001,3.3
6037431002,6
6037431100,2.9
6037431200,2.2
6037431300,3.5
6037431400,6.4
6037431501,4.6
6037431502,4.5
6037431600,4.3
6037431700,3.8
6037431800,2.5
6037431900,1.5
6037432000,1.8
6037432101,2.9
6037432102,3.2
6037432201,1.9
6037432202,3
6037432300,3.9
6037432401,2.1
6037432402,1.8
6037432500,4.5
6037432601,3.5
6037432602,1.5
6037432700,1.9
6037432801,2.9
6037432802,0.3
6037432901,2.7
6037432902,3.4
6037433101,2.2
6037433102,1.7
6037433200,1.5
6037433302,2.3
6037433304,0.2
6037433305,0.2
6037433306,0.4
6037433307,2.5
6037433401,1.8
6037433402,1.5
6037433403,0.8
6037433501,2.1
6037433503,1.1
6037433504,0.6
6037433601,1.7
6037433602,2.5
6037433700,4.9
6037433801,2.8
6037433802,4.1
6037433901,1
6037433902,1.9
6037434001,2.7
6037434003,0.5
6037434004,0.9
6037460000,4.6
6037460100,6.2
6037460200,8.1
6037460301,8
6037460302,5.6
6037460401,5.7
6037460501,4.4
6037460502,4.9
6037460600,4
6037460700,3.9
6037460800,7.8
6037460900,2.8
6037461000,4.3
6037461100,4.2
6037461200,6.5
6037461300,2.4
6037461400,2
6037461501,4.1
6037461502,2.2
6037461600,2.9
6037461700,3.7
6037461901,1.9
6037461902,5.7
6037462001,2.6
6037462002,2.4
6037462100,2.2
6037462201,6.5
6037462202,0.9
6037462301,4.8
6037462302,1.4
6037462400,3.9
6037462500,3.4
6037462600,6.1
6037462700,2.4
6037462800,6.1
6037462900,5.5
6037463000,3.5
6037463101,5.8
6037463102,2.2
6037463200,5.8
6037463300,5.1
6037463400,5.7
6037463500,3.6
6037463601,2.7
6037463602,2.5
6037463700,7.5
6037463800,9.1
6037463900,11.5
6037464000,4.6
6037464100,2.7
6037464200,5
6037480002,5.6
6037480011,2.7
6037480012,3.4
6037480101,3.3
6037480102,2.8
6037480201,5.2
6037480202,3.7
6037480302,3.2
6037480303,2.1
6037480304,1.5
6037480400,2.6
6037480500,6.2
6037480600,2.7
6037480702,6.2
6037480703,4.7
6037480704,3.5
6037480802,6.8
6037480803,3.7
6037480804,2.2
6037480901,2.7
6037480902,2.4
6037480903,2
6037481001,2.1
6037481002,3
6037481101,3.1
6037481102,1.6
6037481103,1.5
6037481201,1.7
6037481202,1.4
6037481300,1.9
6037481401,1.2
6037481402,0.9
6037481500,2.4
6037481603,2.6
6037481604,2.7
6037481605,3.2
6037481606,1.3
6037481711,2.4
6037481712,0.9
6037481713,1.1
6037481714,1
6037481800,4.2
6037481901,2.8
6037481902,4.2
6037482001,7.2
6037482002,3.7
6037482101,2.5
6037482102,5.1
6037482201,2.4
6037482202,2
6037482301,1.7
6037482303,0.7
6037482304,1.2
6037482401,1.8
6037482402,2.3
6037482502,2
6037482503,0.9
6037482521,1.6
6037482522,4.7
6037482600,4.3
6037482701,3.6
6037482702,6.5
6037482800,4
6037500100,8.1
6037500201,6.4
6037500202,6.2
6037500300,2.6
6037500402,1.8
6037500403,3.2
6037500404,4.8
6037500500,2
6037500600,1.8
6037500700,6.4
6037500800,1.7
6037500900,3.7
6037501001,1.9
6037501002,3.8
6037501200,5.4
6037501300,4.3
6037501400,5
6037501501,5.2
6037501503,3.2
6037501504,4
6037501600,3.6
6037501700,3.2
6037501802,3.6
6037501803,3
6037501804,2.5
6037501900,5.5
6037502003,2.6
6037502004,1.5
6037502005,3.8
6037502100,5.7
6037502200,5.8
6037502301,3
6037502302,2.3
6037502401,4.2
6037502402,4.1
6037502500,2.8
6037502601,5.9
6037502602,1.8
6037502700,4
6037502801,3.3
6037502802,3.1
6037502901,2.9
6037502902,2.3
6037503000,1.7
6037503103,3.3
6037503104,5
6037503105,3.2
6037503106,6.5
6037503201,4.9
6037503202,3.4
6037503301,5.4
6037503302,3
6037503401,5.9
6037503402,6.4
6037503501,5.8
6037503502,8
6037503601,6.9
6037503602,3.9
6037503701,5.2
6037503702,6.8
6037503703,5.5
6037503801,6.7
6037503802,6.4
6037503901,7.2
6037503902,8.1
6037504001,2.4
6037504002,5.9
6037504101,3.8
6037504102,0
6037530003,6.4
6037530004,4
6037530005,5.2
6037530006,3.5
6037530101,1.5
6037530102,2.8
6037530202,4
6037530203,3.5
6037530204,0.4
6037530301,4.1
6037530302,1.7
6037530400,2.9
6037530500,2.1
6037530601,1.8
6037530602,5.8
6037530700,0.9
6037530801,2.2
6037530802,1.7
6037530901,0.9
6037530902,0.3
6037531000,1.5
6037531101,0.7
6037531102,0.5
6037531201,1.4
6037531202,0.3
6037531301,1.1
6037531302,0.4
6037531502,1.6
6037531503,0.8
6037531504,2.3
6037531602,0.7
6037531603,1.4
6037531604,0.9
6037531701,0.7
6037531702,1.9
6037531800,1.5
6037531901,1.2
6037531902,4
6037532001,1.5
6037532002,2.2
6037532101,3.1
6037532102,1.1
6037532200,2.1
6037532302,1.7
6037532303,1.9
6037532304,5
6037532400,0
6037532500,1
6037532603,0.5
6037532604,0.4
6037532605,2.4
6037532606,1.8
6037532700,1.1
6037532800,0.3
