GEO_id2,Civilian_EST,Civilian_MOE,Veteran_EST,Veteran_MOE
6037236000,4038,323,245,113
6037236100,4641,343,311,150
6037236202,4374,389,167,102
6037236203,2560,249,166,110
6037236204,2200,251,125,67
6037236400,3717,275,233,95
6037237101,2710,239,45,40
6037237102,2256,204,15,18
6037237201,2786,372,53,34
6037237202,3394,365,66,56
6037237300,3948,368,187,95
6037237401,2900,264,101,57
6037237402,2391,205,110,43
6037237500,2005,210,19,16
6037237600,2810,229,84,55
6037237710,2656,318,34,32
6037237720,2160,295,45,33
6037237800,2984,365,200,116
6037237900,3277,309,127,64
6037238000,4842,641,162,102
6037238100,3445,308,218,83
6037238200,3932,587,219,154
6037238310,3671,347,85,73
6037238320,2455,206,31,30
6037238400,4142,502,361,268
6037239201,2646,291,28,16
6037239202,3676,419,17,26
6037239310,2834,285,35,26
6037239320,2894,278,26,25
6037239330,2042,178,7,10
6037239501,2698,223,18,16
6037239502,2538,252,64,42
6037239601,2383,294,59,47
6037239602,2516,223,41,34
6037239701,3099,343,11,13
6037239702,2864,279,46,38
6037239801,2166,259,21,21
6037239802,3699,310,52,45
6037240010,2524,295,16,18
6037240020,3808,366,133,72
6037240200,3685,378,26,39
6037240300,3393,447,47,35
6037240401,3739,430,37,30
6037240402,2649,354,74,56
6037240500,4268,423,60,44
6037240600,4140,438,22,20
6037240700,4729,361,9,13
6037240800,3232,328,45,37
6037240900,3995,456,112,91
6037241001,3176,452,53,43
6037241002,2484,251,103,45
6037241110,2311,252,19,19
6037241120,3539,402,105,62
6037241201,2290,235,56,40
6037241202,3613,394,139,71
6037241300,1855,225,20,18
6037241400,2519,274,15,20
6037242000,2857,279,125,55
6037242100,1478,154,0,0
6037242200,4322,426,31,35
6037242300,3210,496,54,40
6037242600,3028,348,24,24
6037242700,3809,377,65,57
6037243000,4557,571,38,31
6037243100,3864,390,51,55
6037261101,2947,236,98,47
6037261102,3097,323,212,83
6037261200,3409,223,144,67
6037262100,2477,333,97,51
6037262200,3714,302,135,54
6037262301,2362,239,62,28
6037262302,2254,242,66,47
6037262303,2362,235,122,45
6037262400,2206,194,130,49
6037262501,2777,168,234,104
6037262601,2679,240,104,43
6037262604,4637,298,407,132
6037262704,2838,198,104,52
6037262706,2798,152,254,107
6037262802,2436,248,95,49
6037264000,2500,269,172,66
6037264102,2526,234,82,40
6037264103,2456,195,52,53
6037264301,4785,327,132,79
6037264302,5012,333,169,90
6037265100,2221,167,240,87
6037265201,2452,359,64,39
6037265202,3135,461,89,93
6037265301,10223,565,0,0
6037265303,4669,479,27,22
6037265304,3099,385,1,3
6037265305,3888,468,0,0
6037265410,1169,128,17,14
6037265420,1503,113,53,24
6037265510,4048,423,93,92
6037265520,4206,367,142,71
6037265601,2832,272,123,51
6037265602,2517,316,128,53
6037265700,4387,424,152,74
6037267100,5690,469,103,65
6037267200,5399,547,42,65
6037267300,4415,450,127,101
6037267402,4591,305,54,46
6037267403,3081,278,91,49
6037267404,2881,343,53,48
6037267501,5902,613,30,33
6037267502,2948,322,30,22
6037267600,2273,254,36,28
6037267700,2863,252,34,27
6037267800,2174,202,54,36
6037267901,2104,244,166,80
6037267902,2792,238,120,54
6037269000,4428,432,137,84
6037269100,3189,304,90,52
6037269300,2830,139,98,51
6037269500,2764,204,67,49
6037269601,2666,247,67,59
6037269602,2537,252,69,88
6037269700,3277,283,62,38
6037269800,2694,175,52,34
6037269903,3298,304,61,41
6037269904,3420,359,86,65
6037269905,2258,198,52,33
6037269906,2573,189,68,41
6037269907,2639,200,13,15
6037270100,3832,359,99,51
6037270200,2989,425,94,61
6037270300,2014,146,78,37
6037271100,1998,179,65,27
6037271200,2357,230,27,29
6037271300,3681,327,99,61
6037271400,2935,256,174,67
6037271500,2546,149,174,74
6037271600,3889,296,101,39
6037271701,4897,470,209,98
6037271702,3434,269,44,28
6037271801,3132,259,79,47
6037271802,4809,400,81,74
6037271901,2787,323,96,54
6037271902,3468,309,112,43
6037272100,3675,281,133,62
6037272201,2266,163,88,61
6037272202,3140,227,35,43
6037272301,2739,268,69,46
6037272302,3513,325,148,83
6037273100,2101,218,97,40
6037273200,2741,297,85,41
6037273300,2652,238,41,33
6037273402,2684,320,86,69
6037273502,2663,178,61,58
6037273600,1938,139,27,26
6037273700,2410,171,95,59
6037273800,2632,196,95,49
6037273902,3640,289,128,63
6037274100,3698,386,145,107
6037274202,3897,418,174,98
6037275101,1078,100,4,6
6037275102,3043,336,147,64
6037275200,3339,250,88,41
6037275302,4261,444,204,88
6037275311,5014,432,206,88
6037275400,3194,176,212,87
6037275500,4516,365,84,47
6037275602,7836,622,261,126
6037275603,2321,171,159,73
6037276000,4547,317,408,141
6037276100,5084,449,317,153
6037276400,3479,269,155,65
6037276500,5154,303,61,36
6037276601,3530,411,179,71
6037276603,4751,341,251,91
6037276604,4008,336,204,90
6037277000,4454,237,236,97
6037277100,2506,210,104,47
6037277200,1988,201,48,38
6037277400,1152,176,29,20
6037278001,2093,210,98,34
6037278102,2905,237,103,50
6037291110,2767,305,119,64
6037291120,1735,173,31,24
6037291130,2787,239,85,45
6037291210,4132,450,185,78
6037291220,2835,212,77,34
6037291300,2260,119,175,47
6037292000,4612,368,54,31
6037293201,5468,475,153,72
6037293202,4189,393,93,67
6037293301,2540,297,139,58
6037293302,4237,444,134,70
6037293304,3456,346,182,117
6037293306,2048,159,81,30
6037293307,2052,176,59,36
6037294110,3060,315,140,84
6037294120,1609,170,5,8
6037294200,3708,339,89,52
6037294301,2041,140,74,29
6037294302,3172,331,100,65
6037294410,3344,237,105,66
6037294421,2169,178,66,35
6037294510,3263,335,79,65
6037294520,2493,159,43,26
6037294610,3111,246,42,33
6037294620,3449,298,38,35
6037294701,2192,189,42,36
6037294810,2753,221,35,26
6037294820,2429,197,52,50
6037294830,2558,182,18,20
6037294900,2459,193,58,38
6037295103,4231,293,291,136
6037296210,2272,339,45,28
6037296220,3121,337,76,57
6037296300,3960,234,238,119
6037296401,2700,227,116,47
6037296402,2471,209,190,69
6037296500,2940,430,60,46
6037296600,3761,312,193,81
6037296901,3037,349,83,53
6037296902,3034,275,233,86
6037297000,4236,359,346,125
6037297110,3629,419,141,58
